province,district,year,month,precip_mm,sunshine_hours_month
Malatya,Akçadağ,2019,11,11.6,269.0
Malatya,Akçadağ,2019,12,113.7,150.0
Malatya,Akçadağ,2020,1,69.2,185.0
Malatya,Akçadağ,2020,2,41.1,204.0
Malatya,Akçadağ,2020,3,105.1,253.0
Malatya,Akçadağ,2020,4,44.1,319.0
Malatya,Akçadağ,2020,5,69.8,349.0
Malatya,Akçadağ,2020,6,3.8,419.0
Malatya,Akçadağ,2020,7,0.0,427.0
Malatya,Akçadağ,2020,8,0.0,403.0
Malatya,Akçadağ,2020,9,0.0,352.0
Malatya,Akçadağ,2020,10,0.0,324.0
Malatya,Akçadağ,2020,11,72.7,241.0
Malatya,Akçadağ,2020,12,53.9,218.0
Malatya,Akçadağ,2021,1,78.8,207.0
Malatya,Akçadağ,2021,2,13.4,253.0
Malatya,Akçadağ,2021,3,78.9,285.0
Malatya,Akçadağ,2021,4,15.5,338.0
Malatya,Akçadağ,2021,5,3.6,392.0
Malatya,Akçadağ,2021,6,0.6,425.0
Malatya,Akçadağ,2021,7,0.2,425.0
Malatya,Akçadağ,2021,8,5.6,400.0
Malatya,Akçadağ,2021,9,4.6,355.0
Malatya,Akçadağ,2021,10,5.1,311.0
Malatya,Akçadağ,2021,11,21.6,234.0
Malatya,Akçadağ,2021,12,51.5,203.0
Malatya,Akçadağ,2022,1,94.0,134.0
Malatya,Akçadağ,2022,2,59.7,208.0
Malatya,Akçadağ,2022,3,92.6,249.0
Malatya,Akçadağ,2022,4,21.0,343.0
Malatya,Akçadağ,2022,5,58.3,353.0
Malatya,Akçadağ,2022,6,23.2,396.0
Malatya,Akçadağ,2022,7,0.0,429.0
Malatya,Akçadağ,2022,8,0.1,401.0
Malatya,Akçadağ,2022,9,1.0,350.0
Malatya,Akçadağ,2022,10,18.5,303.0
Malatya,Akçadağ,2022,11,57.4,204.0
Malatya,Akçadağ,2022,12,18.0,232.0
Malatya,Akçadağ,2023,1,21.3,225.0
Malatya,Akçadağ,2023,2,86.3,223.0
Malatya,Akçadağ,2023,3,168.4,233.0
Malatya,Akçadağ,2023,4,97.6,308.0
Malatya,Akçadağ,2023,5,30.9,373.0
Malatya,Akçadağ,2023,6,11.4,410.0
Malatya,Akçadağ,2023,7,3.6,428.0
Malatya,Akçadağ,2023,8,2.9,395.0
Malatya,Akçadağ,2023,9,0.0,356.0
Malatya,Akçadağ,2023,10,16.8,308.0
Malatya,Akçadağ,2023,11,106.4,241.0
Malatya,Akçadağ,2023,12,75.5,209.0
Malatya,Akçadağ,2024,1,67.7,159.0
Malatya,Akçadağ,2024,2,62.9,236.0
Malatya,Akçadağ,2024,3,42.1,265.0
Malatya,Akçadağ,2024,4,34.3,336.0
Malatya,Akçadağ,2024,5,69.4,353.0
Malatya,Akçadağ,2024,6,3.9,421.0
Malatya,Akçadağ,2024,7,1.7,418.0
Malatya,Akçadağ,2024,8,0.6,400.0
Malatya,Akçadağ,2024,9,8.2,333.0
Malatya,Akçadağ,2024,10,35.7,319.0
Malatya,Akçadağ,2024,11,58.7,232.0
Malatya,Akçadağ,2024,12,30.1,174.0
Malatya,Arapkir,2015,1,116.6,212.0
Malatya,Arapkir,2015,2,97.5,214.0
Malatya,Arapkir,2015,3,123.8,267.0
Malatya,Arapkir,2015,4,75.6,335.0
Malatya,Arapkir,2015,5,75.0,390.0
Malatya,Arapkir,2015,6,22.4,422.0
Malatya,Arapkir,2015,7,0.0,436.0
Malatya,Arapkir,2015,8,5.7,400.0
Malatya,Arapkir,2015,9,3.4,358.0
Malatya,Arapkir,2015,10,89.1,275.0
Malatya,Arapkir,2015,11,24.2,252.0
Malatya,Arapkir,2015,12,6.2,273.0
Malatya,Arapkir,2016,1,139.0,165.0
Malatya,Arapkir,2016,2,85.1,229.0
Malatya,Arapkir,2016,3,75.8,310.0
Malatya,Arapkir,2016,4,38.0,365.0
Malatya,Arapkir,2016,5,81.4,390.0
Malatya,Arapkir,2016,6,26.1,415.0
Malatya,Arapkir,2016,7,8.0,432.0
Malatya,Arapkir,2016,8,2.9,401.0
Malatya,Arapkir,2016,9,27.6,348.0
Malatya,Arapkir,2016,10,1.4,323.0
Malatya,Arapkir,2016,11,35.4,266.0
Malatya,Arapkir,2016,12,84.3,199.0
Malatya,Arapkir,2017,1,73.9,219.0
Malatya,Arapkir,2017,2,1.7,280.0
Malatya,Arapkir,2017,3,106.2,298.0
Malatya,Arapkir,2017,4,127.8,342.0
Malatya,Arapkir,2017,5,149.1,364.0
Malatya,Arapkir,2017,6,9.1,428.0
Malatya,Arapkir,2017,7,0.5,434.0
Malatya,Arapkir,2017,8,1.3,402.0
Malatya,Arapkir,2017,9,2.4,355.0
Malatya,Arapkir,2017,10,67.8,299.0
Malatya,Arapkir,2017,11,108.6,230.0
Malatya,Arapkir,2017,12,45.7,231.0
Malatya,Arapkir,2018,1,184.2,178.0
Malatya,Arapkir,2018,2,61.7,218.0
Malatya,Arapkir,2018,3,91.4,267.0
Malatya,Arapkir,2018,4,11.2,360.0
Malatya,Arapkir,2018,5,197.0,346.0
Malatya,Arapkir,2018,6,22.8,421.0
Malatya,Arapkir,2018,7,0.2,432.0
Malatya,Arapkir,2018,8,0.1,403.0
Malatya,Arapkir,2018,9,3.9,353.0
Malatya,Arapkir,2018,10,117.0,280.0
Malatya,Arapkir,2018,11,58.9,214.0
Malatya,Arapkir,2018,12,227.1,143.0
Malatya,Arapkir,2019,1,168.5,148.0
Malatya,Arapkir,2019,2,63.3,206.0
Malatya,Arapkir,2019,3,87.9,243.0
Malatya,Arapkir,2019,4,123.0,281.0
Malatya,Arapkir,2019,5,58.9,388.0
Malatya,Arapkir,2019,6,4.3,425.0
Malatya,Arapkir,2019,7,1.1,429.0
Malatya,Arapkir,2019,8,6.3,401.0
Malatya,Arapkir,2019,9,2.9,354.0
Malatya,Arapkir,2019,10,10.7,310.0
Malatya,Arapkir,2019,11,29.7,265.0
Malatya,Arapkir,2019,12,159.4,159.0
Malatya,Arapkir,2020,1,123.4,188.0
Malatya,Arapkir,2020,2,86.2,196.0
Malatya,Arapkir,2020,3,172.8,248.0
Malatya,Arapkir,2020,4,90.6,311.0
Malatya,Arapkir,2020,5,138.6,356.0
Malatya,Arapkir,2020,6,17.3,421.0
Malatya,Arapkir,2020,7,0.2,432.0
Malatya,Arapkir,2020,8,0.0,403.0
Malatya,Arapkir,2020,9,3.2,352.0
Malatya,Arapkir,2020,10,1.9,323.0
Malatya,Arapkir,2020,11,105.1,248.0
Malatya,Arapkir,2020,12,84.4,211.0
Malatya,Arapkir,2021,1,128.8,197.0
Malatya,Arapkir,2021,2,22.7,246.0
Malatya,Arapkir,2021,3,115.0,270.0
Malatya,Arapkir,2021,4,44.0,321.0
Malatya,Arapkir,2021,5,7.2,403.0
Malatya,Arapkir,2021,6,2.6,429.0
Malatya,Arapkir,2021,7,2.8,430.0
Malatya,Arapkir,2021,8,10.8,402.0
Malatya,Arapkir,2021,9,8.1,356.0
Malatya,Arapkir,2021,10,26.7,299.0
Malatya,Arapkir,2021,11,53.9,213.0
Malatya,Arapkir,2021,12,94.1,201.0
Malatya,Arapkir,2022,1,176.7,124.0
Malatya,Arapkir,2022,2,68.4,196.0
Malatya,Arapkir,2022,3,103.3,257.0
Malatya,Arapkir,2022,4,44.1,335.0
Malatya,Arapkir,2022,5,73.0,357.0
Malatya,Arapkir,2022,6,57.9,402.0
Malatya,Arapkir,2022,7,0.0,435.0
Malatya,Arapkir,2022,8,0.0,397.0
Malatya,Arapkir,2022,9,7.1,348.0
Malatya,Arapkir,2022,10,53.2,302.0
Malatya,Arapkir,2022,11,121.5,191.0
Malatya,Arapkir,2022,12,36.6,222.0
Malatya,Arapkir,2023,1,30.9,224.0
Malatya,Arapkir,2023,2,84.3,222.0
Malatya,Arapkir,2023,3,173.2,213.0
Malatya,Arapkir,2023,4,233.1,271.0
Malatya,Arapkir,2023,5,135.8,362.0
Malatya,Arapkir,2023,6,32.3,408.0
Malatya,Arapkir,2023,7,0.8,436.0
Malatya,Arapkir,2023,8,1.0,400.0
Malatya,Arapkir,2023,9,0.1,358.0
Malatya,Arapkir,2023,10,43.6,301.0
Malatya,Arapkir,2023,11,160.7,213.0
Malatya,Arapkir,2023,12,134.9,194.0
Malatya,Arapkir,2024,1,120.3,147.0
Malatya,Arapkir,2024,2,55.1,222.0
Malatya,Arapkir,2024,3,91.1,258.0
Malatya,Arapkir,2024,4,46.4,344.0
Malatya,Arapkir,2024,5,139.7,350.0
Malatya,Arapkir,2024,6,4.4,422.0
Malatya,Arapkir,2024,7,2.0,428.0
Malatya,Arapkir,2024,8,1.0,398.0
Malatya,Arapkir,2024,9,81.1,332.0
Malatya,Arapkir,2024,10,19.4,313.0
Malatya,Arapkir,2024,11,108.2,218.0
Malatya,Arapkir,2024,12,58.3,190.0
Malatya,Arguvan,2015,1,91.8,219.0
Malatya,Arguvan,2015,2,63.3,220.0
Malatya,Arguvan,2015,3,100.7,275.0
Malatya,Arguvan,2015,4,45.9,332.0
Malatya,Arguvan,2015,5,37.0,390.0
Malatya,Arguvan,2015,6,14.9,420.0
Malatya,Arguvan,2015,7,0.0,435.0
Malatya,Arguvan,2015,8,3.8,398.0
Malatya,Arguvan,2015,9,1.6,357.0
Malatya,Arguvan,2015,10,53.6,280.0
Malatya,Arguvan,2015,11,13.0,255.0
Malatya,Arguvan,2015,12,3.2,272.0
Malatya,Arguvan,2016,1,102.2,169.0
Malatya,Arguvan,2016,2,62.8,235.0
Malatya,Arguvan,2016,3,44.4,311.0
Malatya,Arguvan,2016,4,16.6,366.0
Malatya,Arguvan,2016,5,42.1,387.0
Malatya,Arguvan,2016,6,12.6,416.0
Malatya,Arguvan,2016,7,3.5,431.0
Malatya,Arguvan,2016,8,0.0,401.0
Malatya,Arguvan,2016,9,9.5,349.0
Malatya,Arguvan,2016,10,0.3,323.0
Malatya,Arguvan,2016,11,26.7,264.0
Malatya,Arguvan,2016,12,59.1,199.0
Malatya,Arguvan,2017,1,51.2,232.0
Malatya,Arguvan,2017,2,1.0,283.0
Malatya,Arguvan,2017,3,70.7,311.0
Malatya,Arguvan,2017,4,64.3,353.0
Malatya,Arguvan,2017,5,115.0,370.0
Malatya,Arguvan,2017,6,6.2,425.0
Malatya,Arguvan,2017,7,0.3,430.0
Malatya,Arguvan,2017,8,0.4,402.0
Malatya,Arguvan,2017,9,1.1,354.0
Malatya,Arguvan,2017,10,13.3,307.0
Malatya,Arguvan,2017,11,57.6,233.0
Malatya,Arguvan,2017,12,27.6,235.0
Malatya,Arguvan,2018,1,123.0,175.0
Malatya,Arguvan,2018,2,43.4,218.0
Malatya,Arguvan,2018,3,53.6,289.0
Malatya,Arguvan,2018,4,13.3,351.0
Malatya,Arguvan,2018,5,103.0,354.0
Malatya,Arguvan,2018,6,7.7,415.0
Malatya,Arguvan,2018,7,0.0,430.0
Malatya,Arguvan,2018,8,0.3,403.0
Malatya,Arguvan,2018,9,0.2,352.0
Malatya,Arguvan,2018,10,60.2,291.0
Malatya,Arguvan,2018,11,42.7,218.0
Malatya,Arguvan,2018,12,135.3,153.0
Malatya,Arguvan,2019,1,70.1,159.0
Malatya,Arguvan,2019,2,45.5,208.0
Malatya,Arguvan,2019,3,64.2,251.0
Malatya,Arguvan,2019,4,71.8,288.0
Malatya,Arguvan,2019,5,23.5,386.0
Malatya,Arguvan,2019,6,4.9,423.0
Malatya,Arguvan,2019,7,0.4,426.0
Malatya,Arguvan,2019,8,3.4,400.0
Malatya,Arguvan,2019,9,1.3,353.0
Malatya,Arguvan,2019,10,9.4,313.0
Malatya,Arguvan,2019,11,14.1,269.0
Malatya,Arguvan,2019,12,92.0,156.0
Malatya,Arguvan,2020,1,86.2,181.0
Malatya,Arguvan,2020,2,43.4,200.0
Malatya,Arguvan,2020,3,103.9,254.0
Malatya,Arguvan,2020,4,58.8,310.0
Malatya,Arguvan,2020,5,72.6,357.0
Malatya,Arguvan,2020,6,10.8,412.0
Malatya,Arguvan,2020,7,0.0,426.0
Malatya,Arguvan,2020,8,0.0,403.0
Malatya,Arguvan,2020,9,0.3,353.0
Malatya,Arguvan,2020,10,1.1,323.0
Malatya,Arguvan,2020,11,66.6,248.0
Malatya,Arguvan,2020,12,51.8,210.0
Malatya,Arguvan,2021,1,71.6,204.0
Malatya,Arguvan,2021,2,14.7,248.0
Malatya,Arguvan,2021,3,89.8,279.0
Malatya,Arguvan,2021,4,21.0,336.0
Malatya,Arguvan,2021,5,6.1,400.0
Malatya,Arguvan,2021,6,0.3,429.0
Malatya,Arguvan,2021,7,0.0,427.0
Malatya,Arguvan,2021,8,3.9,401.0
Malatya,Arguvan,2021,9,4.8,357.0
Malatya,Arguvan,2021,10,12.6,302.0
Malatya,Arguvan,2021,11,33.4,219.0
Malatya,Arguvan,2021,12,50.1,205.0
Malatya,Arguvan,2022,1,73.6,126.0
Malatya,Arguvan,2022,2,35.1,205.0
Malatya,Arguvan,2022,3,82.4,263.0
Malatya,Arguvan,2022,4,44.4,341.0
Malatya,Arguvan,2022,5,67.4,352.0
Malatya,Arguvan,2022,6,23.7,407.0
Malatya,Arguvan,2022,7,0.0,430.0
Malatya,Arguvan,2022,8,0.0,402.0
Malatya,Arguvan,2022,9,3.0,349.0
Malatya,Arguvan,2022,10,20.6,309.0
Malatya,Arguvan,2022,11,62.6,209.0
Malatya,Arguvan,2022,12,19.2,225.0
Malatya,Arguvan,2023,1,18.8,229.0
Malatya,Arguvan,2023,2,62.1,225.0
Malatya,Arguvan,2023,3,149.3,223.0
Malatya,Arguvan,2023,4,127.6,305.0
Malatya,Arguvan,2023,5,50.6,373.0
Malatya,Arguvan,2023,6,20.2,414.0
Malatya,Arguvan,2023,7,1.0,430.0
Malatya,Arguvan,2023,8,6.8,400.0
Malatya,Arguvan,2023,9,0.0,357.0
Malatya,Arguvan,2023,10,38.9,303.0
Malatya,Arguvan,2023,11,90.7,241.0
Malatya,Arguvan,2023,12,59.0,201.0
Malatya,Arguvan,2024,1,69.6,159.0
Malatya,Arguvan,2024,2,40.9,240.0
Malatya,Arguvan,2024,3,68.8,265.0
Malatya,Arguvan,2024,4,43.0,332.0
Malatya,Arguvan,2024,5,102.8,359.0
Malatya,Arguvan,2024,6,0.5,421.0
Malatya,Arguvan,2024,7,5.1,423.0
Malatya,Arguvan,2024,8,0.7,400.0
Malatya,Arguvan,2024,9,23.9,334.0
Malatya,Arguvan,2024,10,21.0,316.0
Malatya,Arguvan,2024,11,65.1,238.0
Malatya,Arguvan,2024,12,32.6,192.0
Malatya,Battalgazi,2015,1,97.3,221.0
Malatya,Battalgazi,2015,2,53.2,230.0
Malatya,Battalgazi,2015,3,106.1,276.0
Malatya,Battalgazi,2015,4,44.7,334.0
Malatya,Battalgazi,2015,5,33.1,394.0
Malatya,Battalgazi,2015,6,8.8,419.0
Malatya,Battalgazi,2015,7,0.0,432.0
Malatya,Battalgazi,2015,8,0.3,398.0
Malatya,Battalgazi,2015,9,3.1,357.0
Malatya,Battalgazi,2015,10,58.9,287.0
Malatya,Battalgazi,2015,11,10.1,257.0
Malatya,Battalgazi,2015,12,3.2,270.0
Malatya,Battalgazi,2016,1,83.2,179.0
Malatya,Battalgazi,2016,2,69.8,237.0
Malatya,Battalgazi,2016,3,37.2,316.0
Malatya,Battalgazi,2016,4,12.0,370.0
Malatya,Battalgazi,2016,5,38.7,388.0
Malatya,Battalgazi,2016,6,8.4,415.0
Malatya,Battalgazi,2016,7,1.6,428.0
Malatya,Battalgazi,2016,8,1.8,400.0
Malatya,Battalgazi,2016,9,8.2,351.0
Malatya,Battalgazi,2016,10,0.0,322.0
Malatya,Battalgazi,2016,11,30.4,266.0
Malatya,Battalgazi,2016,12,64.8,198.0
Malatya,Battalgazi,2017,1,46.3,257.0
Malatya,Battalgazi,2017,2,1.3,287.0
Malatya,Battalgazi,2017,3,61.2,321.0
Malatya,Battalgazi,2017,4,40.8,349.0
Malatya,Battalgazi,2017,5,61.8,370.0
Malatya,Battalgazi,2017,6,1.5,422.0
Malatya,Battalgazi,2017,7,0.0,427.0
Malatya,Battalgazi,2017,8,0.8,402.0
Malatya,Battalgazi,2017,9,0.0,353.0
Malatya,Battalgazi,2017,10,3.4,311.0
Malatya,Battalgazi,2017,11,31.3,260.0
Malatya,Battalgazi,2017,12,10.5,244.0
Malatya,Battalgazi,2018,1,116.6,195.0
Malatya,Battalgazi,2018,2,45.9,233.0
Malatya,Battalgazi,2018,3,29.8,303.0
Malatya,Battalgazi,2018,4,5.0,342.0
Malatya,Battalgazi,2018,5,63.8,356.0
Malatya,Battalgazi,2018,6,9.1,412.0
Malatya,Battalgazi,2018,7,0.0,424.0
Malatya,Battalgazi,2018,8,0.0,403.0
Malatya,Battalgazi,2018,9,1.2,352.0
Malatya,Battalgazi,2018,10,42.3,287.0
Malatya,Battalgazi,2018,11,41.6,225.0
Malatya,Battalgazi,2018,12,137.4,167.0
Malatya,Battalgazi,2019,1,77.5,189.0
Malatya,Battalgazi,2019,2,46.5,203.0
Malatya,Battalgazi,2019,3,56.6,251.0
Malatya,Battalgazi,2019,4,67.3,291.0
Malatya,Battalgazi,2019,5,10.2,384.0
Malatya,Battalgazi,2019,6,0.5,417.0
Malatya,Battalgazi,2019,7,0.0,422.0
Malatya,Battalgazi,2019,8,1.4,399.0
Malatya,Battalgazi,2019,9,0.3,357.0
Malatya,Battalgazi,2019,10,15.1,314.0
Malatya,Battalgazi,2019,11,9.6,272.0
Malatya,Battalgazi,2019,12,87.8,165.0
Malatya,Battalgazi,2020,1,59.8,186.0
Malatya,Battalgazi,2020,2,33.7,209.0
Malatya,Battalgazi,2020,3,111.6,267.0
Malatya,Battalgazi,2020,4,67.4,325.0
Malatya,Battalgazi,2020,5,70.9,350.0
Malatya,Battalgazi,2020,6,1.3,415.0
Malatya,Battalgazi,2020,7,0.0,423.0
Malatya,Battalgazi,2020,8,0.0,403.0
Malatya,Battalgazi,2020,9,0.0,354.0
Malatya,Battalgazi,2020,10,0.1,321.0
Malatya,Battalgazi,2020,11,48.6,244.0
Malatya,Battalgazi,2020,12,39.4,225.0
Malatya,Battalgazi,2021,1,76.0,215.0
Malatya,Battalgazi,2021,2,7.3,254.0
Malatya,Battalgazi,2021,3,67.3,294.0
Malatya,Battalgazi,2021,4,9.6,340.0
Malatya,Battalgazi,2021,5,3.1,400.0
Malatya,Battalgazi,2021,6,0.0,423.0
Malatya,Battalgazi,2021,7,0.1,424.0
Malatya,Battalgazi,2021,8,1.1,400.0
Malatya,Battalgazi,2021,9,1.3,357.0
Malatya,Battalgazi,2021,10,38.2,305.0
Malatya,Battalgazi,2021,11,29.6,239.0
Malatya,Battalgazi,2021,12,41.9,214.0
Malatya,Battalgazi,2022,1,76.8,129.0
Malatya,Battalgazi,2022,2,25.9,225.0
Malatya,Battalgazi,2022,3,93.6,268.0
Malatya,Battalgazi,2022,4,21.8,337.0
Malatya,Battalgazi,2022,5,67.8,354.0
Malatya,Battalgazi,2022,6,20.8,399.0
Malatya,Battalgazi,2022,7,0.0,427.0
Malatya,Battalgazi,2022,8,0.0,399.0
Malatya,Battalgazi,2022,9,0.4,346.0
Malatya,Battalgazi,2022,10,16.2,302.0
Malatya,Battalgazi,2022,11,82.0,207.0
Malatya,Battalgazi,2022,12,11.9,234.0
Malatya,Battalgazi,2023,1,14.1,231.0
Malatya,Battalgazi,2023,2,74.1,231.0
Malatya,Battalgazi,2023,3,163.2,229.0
Malatya,Battalgazi,2023,4,90.5,315.0
Malatya,Battalgazi,2023,5,36.7,373.0
Malatya,Battalgazi,2023,6,11.8,407.0
Malatya,Battalgazi,2023,7,0.4,426.0
Malatya,Battalgazi,2023,8,9.0,399.0
Malatya,Battalgazi,2023,9,0.0,356.0
Malatya,Battalgazi,2023,10,19.8,305.0
Malatya,Battalgazi,2023,11,135.6,241.0
Malatya,Battalgazi,2023,12,124.0,211.0
Malatya,Battalgazi,2024,1,58.5,174.0
Malatya,Battalgazi,2024,2,56.2,248.0
Malatya,Battalgazi,2024,3,59.5,265.0
Malatya,Battalgazi,2024,4,22.4,336.0
Malatya,Battalgazi,2024,5,88.2,349.0
Malatya,Battalgazi,2024,6,0.8,416.0
Malatya,Battalgazi,2024,7,1.5,418.0
Malatya,Battalgazi,2024,8,0.0,403.0
Malatya,Battalgazi,2024,9,27.2,332.0
Malatya,Battalgazi,2024,10,8.7,315.0
Malatya,Battalgazi,2024,11,56.7,240.0
Malatya,Battalgazi,2024,12,22.9,199.0
Malatya,Darende,2015,1,77.2,222.0
Malatya,Darende,2015,2,58.5,234.0
Malatya,Darende,2015,3,84.8,291.0
Malatya,Darende,2015,4,37.8,332.0
Malatya,Darende,2015,5,45.0,393.0
Malatya,Darende,2015,6,22.9,418.0
Malatya,Darende,2015,7,0.2,432.0
Malatya,Darende,2015,8,3.8,401.0
Malatya,Darende,2015,9,5.5,355.0
Malatya,Darende,2015,10,34.5,278.0
Malatya,Darende,2015,11,9.5,258.0
Malatya,Darende,2015,12,2.7,266.0
Malatya,Darende,2016,1,76.8,176.0
Malatya,Darende,2016,2,42.5,232.0
Malatya,Darende,2016,3,44.4,311.0
Malatya,Darende,2016,4,18.2,375.0
Malatya,Darende,2016,5,45.9,383.0
Malatya,Darende,2016,6,13.8,412.0
Malatya,Darende,2016,7,5.4,429.0
Malatya,Darende,2016,8,0.9,403.0
Malatya,Darende,2016,9,13.7,348.0
Malatya,Darende,2016,10,1.2,328.0
Malatya,Darende,2016,11,27.8,267.0
Malatya,Darende,2016,12,68.4,205.0
Malatya,Darende,2017,1,46.7,245.0
Malatya,Darende,2017,2,0.6,283.0
Malatya,Darende,2017,3,64.0,312.0
Malatya,Darende,2017,4,53.9,348.0
Malatya,Darende,2017,5,80.8,365.0
Malatya,Darende,2017,6,7.0,424.0
Malatya,Darende,2017,7,0.0,431.0
Malatya,Darende,2017,8,0.1,397.0
Malatya,Darende,2017,9,0.4,352.0
Malatya,Darende,2017,10,6.4,314.0
Malatya,Darende,2017,11,42.3,242.0
Malatya,Darende,2017,12,30.3,239.0
Malatya,Darende,2018,1,69.0,173.0
Malatya,Darende,2018,2,36.0,216.0
Malatya,Darende,2018,3,46.5,299.0
Malatya,Darende,2018,4,9.3,343.0
Malatya,Darende,2018,5,70.0,344.0
Malatya,Darende,2018,6,15.1,407.0
Malatya,Darende,2018,7,0.3,426.0
Malatya,Darende,2018,8,0.2,402.0
Malatya,Darende,2018,9,0.8,347.0
Malatya,Darende,2018,10,39.2,284.0
Malatya,Darende,2018,11,32.5,218.0
Malatya,Darende,2018,12,107.6,150.0
Malatya,Darende,2019,1,60.2,170.0
Malatya,Darende,2019,2,41.6,204.0
Malatya,Darende,2019,3,54.8,246.0
Malatya,Darende,2019,4,60.6,286.0
Malatya,Darende,2019,5,11.3,380.0
Malatya,Darende,2019,6,2.9,419.0
Malatya,Darende,2019,7,1.6,428.0
Malatya,Darende,2019,8,1.9,400.0
Malatya,Darende,2019,9,3.2,354.0
Malatya,Darende,2019,10,21.9,311.0
Malatya,Darende,2019,11,7.8,272.0
Malatya,Darende,2019,12,84.5,151.0
Malatya,Darende,2020,1,46.4,183.0
Malatya,Darende,2020,2,39.7,209.0
Malatya,Darende,2020,3,74.4,256.0
Malatya,Darende,2020,4,30.3,308.0
Malatya,Darende,2020,5,39.8,353.0
Malatya,Darende,2020,6,6.8,422.0
Malatya,Darende,2020,7,0.0,429.0
Malatya,Darende,2020,8,0.0,404.0
Malatya,Darende,2020,9,0.0,353.0
Malatya,Darende,2020,10,0.7,327.0
Malatya,Darende,2020,11,55.5,247.0
Malatya,Darende,2020,12,38.2,221.0
Malatya,Darende,2021,1,78.8,213.0
Malatya,Darende,2021,2,22.4,253.0
Malatya,Darende,2021,3,68.3,287.0
Malatya,Darende,2021,4,16.5,334.0
Malatya,Darende,2021,5,15.0,396.0
Malatya,Darende,2021,6,2.3,428.0
Malatya,Darende,2021,7,0.9,429.0
Malatya,Darende,2021,8,1.1,403.0
Malatya,Darende,2021,9,6.4,350.0
Malatya,Darende,2021,10,9.5,307.0
Malatya,Darende,2021,11,31.6,239.0
Malatya,Darende,2021,12,71.4,207.0
Malatya,Darende,2022,1,64.8,137.0
Malatya,Darende,2022,2,25.0,196.0
Malatya,Darende,2022,3,76.5,260.0
Malatya,Darende,2022,4,31.1,341.0
Malatya,Darende,2022,5,50.7,355.0
Malatya,Darende,2022,6,18.2,404.0
Malatya,Darende,2022,7,0.0,433.0
Malatya,Darende,2022,8,0.2,401.0
Malatya,Darende,2022,9,6.5,348.0
Malatya,Darende,2022,10,14.9,305.0
Malatya,Darende,2022,11,53.0,204.0
Malatya,Darende,2022,12,18.2,227.0
Malatya,Darende,2023,1,14.4,225.0
Malatya,Darende,2023,2,46.3,238.0
Malatya,Darende,2023,3,138.0,230.0
